PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Bruce Brown(25670678),Franz Wagner(25670617),Caleb Martin(25670729),Jaren Jackson Jr.(25670583),Jonathan Kuminga(25671117),Shake Milton(25670613),Eric Gordon(25670948),Stephen Curry(25670422),49900.0,290.8
Kyle Lowry(25670591),Franz Wagner(25670617),Bruce Brown(25670678),Tobias Harris(25670564),Kevon Looney(25670920),Russell Westbrook(25670594),Eric Gordon(25670948),Kevin Porter Jr.(25670514),49800.0,278.85
Russell Westbrook(25670594),Shake Milton(25670613),Bruce Brown(25670678),Tari Eason(25670967),Deandre Ayton(25670490),Devin Booker(25670431),Malik Beasley(25670799),Andre Drummond(25671051),50000.0,291.9
Tre Jones(25670651),Kelly Oubre Jr.(25670601),Bruce Brown(25670678),Aaron Gordon(25670654),Deandre Ayton(25670490),Cameron Payne(25670635),Jonathan Kuminga(25671117),Zach LaVine(25670555),50000.0,290.5
Russell Westbrook(25670594),Bradley Beal(25670463),AJ Griffin(25670881),Jaren Jackson Jr.(25670583),Clint Capela(25670638),Zach LaVine(25670555),Bruce Brown(25670678),Andre Drummond(25671051),49800.0,292.175
Bruce Brown(25670678),Shake Milton(25670613),Eric Gordon(25670948),Jaren Jackson Jr.(25670583),Anthony Davis(25670425),Zach LaVine(25670555),Malik Beasley(25670799),Andre Drummond(25671051),49900.0,294.725
Bruce Brown(25670678),Shake Milton(25670613),Caleb Martin(25670729),Jonathan Kuminga(25671117),Clint Capela(25670638),Russell Westbrook(25670594),Dean Wade(25671003),Joel Embiid(25670409),49800.0,291.725
Russell Westbrook(25670594),Shake Milton(25670613),Bruce Brown(25670678),Jonathan Kuminga(25671117),Deandre Ayton(25670490),Devin Booker(25670431),Malik Beasley(25670799),Kevon Looney(25670920),50000.0,294.55
Bruce Brown(25670678),Kelly Oubre Jr.(25670601),Caleb Martin(25670729),Luke Kornet(25671094),Anthony Davis(25670425),Zach LaVine(25670555),Jaren Jackson Jr.(25670583),Andre Drummond(25671051),50000.0,287.825
Bruce Brown(25670678),Jordan Clarkson(25670574),Eric Gordon(25670948),Aaron Gordon(25670654),Deandre Ayton(25670490),Zach LaVine(25670555),Jaylen Brown(25670485),Andre Drummond(25671051),49900.0,290.55
Russell Westbrook(25670594),Bradley Beal(25670463),Bruce Brown(25670678),Jonathan Kuminga(25671117),Deandre Ayton(25670490),Franz Wagner(25670617),Eric Gordon(25670948),Shake Milton(25670613),50000.0,294.95
Shake Milton(25670613),Zach LaVine(25670555),Caleb Martin(25670729),Tari Eason(25670967),Clint Capela(25670638),Tre Jones(25670651),Bruce Brown(25670678),Deandre Ayton(25670490),49700.0,296.0
Tre Jones(25670651),Zach LaVine(25670555),Bruce Brown(25670678),Luke Kornet(25671094),Joel Embiid(25670409),Tyus Jones(25670850),Malik Beasley(25670799),Cameron Payne(25670635),50000.0,283.775
Russell Westbrook(25670594),Jordan Clarkson(25670574),Bruce Brown(25670678),Aaron Gordon(25670654),Anthony Davis(25670425),Cameron Payne(25670635),Damion Lee(25671009),Nickeil Alexander-Walker(25671249),50000.0,283.35
Bruce Brown(25670678),Derrick White(25670788),Caleb Martin(25670729),Sam Hauser(25671057),Joel Embiid(25670409),Shake Milton(25670613),Eric Gordon(25670948),Deandre Ayton(25670490),49900.0,290.35
Derrick White(25670788),Franz Wagner(25670617),Bruce Brown(25670678),Kyle Kuzma(25670482),Deandre Ayton(25670490),Russell Westbrook(25670594),Malik Beasley(25670799),Kevon Looney(25670920),49600.0,283.675
Russell Westbrook(25670594),Zach LaVine(25670555),Bruce Brown(25670678),Jalen Johnson(25671157),Deandre Ayton(25670490),Stephen Curry(25670422),Damion Lee(25671009),Kevon Looney(25670920),49900.0,291.9
Bruce Brown(25670678),Shake Milton(25670613),Dean Wade(25671003),Tobias Harris(25670564),Kevon Looney(25670920),Jamal Murray(25670571),Jaylen Brown(25670485),Russell Westbrook(25670594),49900.0,285.5
Bruce Brown(25670678),Franz Wagner(25670617),Sam Hauser(25671057),Aaron Gordon(25670654),Clint Capela(25670638),Russell Westbrook(25670594),Scottie Barnes(25670578),Zach LaVine(25670555),49900.0,287.275
